date,ticker,action,score,entry,stop,target,exit_price,exit_reason,exit_day,gross_pct,net_pct,spy_leg_pct,size_mult,mr_trigger,quality_score,mfe_pct,atr_pct,days_to_earnings,days_since_earnings,dow,near_52wk_low,vix_entry,spy_trend_entry,ibs_entry,change_pct_entry,year
2021-09-28,NVDA,BUY,54.8,20.87,19.88,22.19,19.86,stop,3,-4.839,-5.339,,,multi,30.1,0.602,3.16,55,39.0,1,False,23.25,1,0.063,-4.437,2021
2026-01-20,NVDA,BUY,54.64,178.83,170.69,189.69,187.44,adaptive,2,4.814,4.314,,,multi,43.5,5.892,3.04,120,62.0,1,False,20.09,1,0.096,-4.382,2026
2012-04-10,MSFT,BUY,58.04,23.88,23.26,24.71,24.39,adaptive,3,2.136,1.636,,,multi,47.9,2.498,1.74,9,173.0,1,False,20.39,1,0.191,-2.026,2012
2014-10-15,MSFT,BUY,58.04,35.87,34.74,37.37,37.37,target,3,4.198,3.698,,,multi,27.1,5.761,2.1,8,174.0,2,False,25.27,0,0.868,-1.166,2014
2018-03-22,MSFT,BUY,56.64,82.34,79.55,86.05,86.05,target,1,4.51,4.01,,,multi,40.4,5.028,2.25,35,50.0,3,False,23.34,1,0.062,-2.909,2018
2018-10-10,MSFT,BUY,56.64,97.71,94.63,101.81,101.81,target,1,4.198,3.698,,,multi,43.2,5.591,2.1,14,167.0,2,False,22.96,0,0.065,-5.434,2018
2019-10-02,MSFT,BUY,54.64,127.13,123.35,132.17,129.18,adaptive,2,1.608,1.108,,,multi,58.0,2.445,1.98,21,161.0,2,False,20.56,1,0.384,-1.766,2019
2018-03-22,AAPL,BUY,56.64,39.52,38.35,41.09,41.09,target,2,3.965,3.465,,,multi,34.0,4.014,1.98,41,48.0,3,False,23.34,1,0.061,-1.413,2018
2019-08-05,AAPL,BUY,53.24,46.96,45.18,49.33,48.66,adaptive,2,3.627,3.127,,,multi,26.1,3.678,2.52,177,5.0,0,False,24.59,1,0.125,-5.235,2019
2021-02-25,AAPL,BUY,59.23,119.29,113.7,126.75,116.9,time_loss,4,-2.007,-2.507,,,multi,48.1,5.0,3.13,63,28.0,3,False,28.89,1,0.076,-3.478,2021
